Samples;Time;Strain;Memory;Full;Rep
rep1_mip_me_0;0;mip6d;Yes;mip6_0_Yes;1
rep1_mip_me_15;15;mip6d;Yes;mip6_15_Yes;1
rep1_mip_me_20;20;mip6d;Yes;mip6_20_Yes;1
rep1_mip_sin_0;0;mip6d;No;mip6_0_No;1
rep1_mip_sin_15;15;mip6d;No;mip6_15_No;1
rep1_mip_sin_20;20;mip6d;No;mip6_20_No;1
rep1_wt_me_0;0;WT;Yes;WT_0_Yes;1
rep1_wt_me_15;15;WT;Yes;WT_15_Yes;1
rep1_wt_me_20;20;WT;Yes;WT_20_Yes;1
rep1_wt_sin_0;0;WT;No;WT_0_No;1
rep1_wt_sin_15;15;WT;No;WT_15_No;1
rep1_wt_sin_20;20;WT;No;WT_20_No;1
rep2_mip_me_0;0;mip6d;Yes;mip6_0_Yes;2
rep2_mip_me_15;15;mip6d;Yes;mip6_15_Yes;2
rep2_mip_me_20;20;mip6d;Yes;mip6_20_Yes;2
rep2_mip_sin_0;0;mip6d;No;mip6_0_No;2
rep2_mip_sin_15;15;mip6d;No;mip6_15_No;2
rep2_mip_sin_20;20;mip6d;No;mip6_20_No;2
rep2_wt_me_0;0;WT;Yes;WT_0_Yes;2
rep2_wt_me_15;15;WT;Yes;WT_15_Yes;2
rep2_wt_me_20;20;WT;Yes;WT_20_Yes;2
rep2_wt_sin_0;0;WT;No;WT_0_No;2
rep2_wt_sin_15;15;WT;No;WT_15_No;2
rep2_wt_sin_20;20;WT;No;WT_20_No;2
rep3_mip_me_0;0;mip6d;Yes;mip6_0_Yes;3
rep3_mip_me_15;15;mip6d;Yes;mip6_15_Yes;3
rep3_mip_me_20;20;mip6d;Yes;mip6_20_Yes;3
rep3_mip_sin_0;0;mip6d;No;mip6_0_No;3
rep3_mip_sin_15;15;mip6d;No;mip6_15_No;3
rep3_mip_sin_20;20;mip6d;No;mip6_20_No;3
rep3_wt_me_0;0;WT;Yes;WT_0_Yes;3
rep3_wt_me_15;15;WT;Yes;WT_15_Yes;3
rep3_wt_me_20;20;WT;Yes;WT_20_Yes;3
rep3_wt_sin_0;0;WT;No;WT_0_No;3
rep3_wt_sin_15;15;WT;No;WT_15_No;3
rep3_wt_sin_20;20;WT;No;WT_20_No;3
